,arima,prophet,prophet_lower,prophet_upper,rf,xgb,ensemble
2025-05-31,14.525945742201365,9.896684170401036,4.960424611468799,14.941627812246393,8.087999999999992,14.186735153198242,11.67434126645016
2025-06-30,14.840545897801578,9.912287357590237,4.732583806108439,14.863238712677246,8.095599999999992,7.440547466278076,10.07224518041747
2025-07-31,15.112652608678575,9.920290356865383,4.393599906380367,15.196210934060488,8.095299999999993,7.440158843994141,10.142100452384524
2025-08-31,15.347954326212012,9.905585458564898,4.714986950928936,14.947383776976832,7.954599999999991,7.286113739013672,10.123563380947644
2025-09-30,15.551429558868536,9.850158066891018,4.741099255394902,14.433064807419465,7.752099999999993,7.51717472076416,10.167715586630926
2025-10-31,15.727383097842157,9.818321078791008,4.304157177716506,15.043002032128596,7.705499999999996,7.511490345001221,10.190673630408595
2025-11-30,15.879537477886212,9.83691868372678,4.74588709863256,14.984154414044069,7.705699999999994,7.50298547744751,10.231285409765125
2025-12-31,16.011111730394155,9.883330167852208,4.759206694156025,15.113326149392819,7.753799999999993,7.556820869445801,10.301265691923039
2026-01-31,16.124889486368133,9.90475396576322,4.748773533287276,14.834070417277768,8.021999999999993,7.644568920135498,10.42405309306671
2026-02-28,16.223277867892037,10.040839912851983,4.864567024802321,15.439410863094304,7.988599999999994,7.447449684143066,10.42504186622177
2026-03-31,16.308358414049998,9.987412628667645,4.662261520593287,15.326055905388664,7.983599999999992,7.649020671844482,10.48209792864053
2026-04-30,16.38193111869682,10.345558044423775,5.2949056170211515,15.188149664341328,7.966099999999992,7.646406173706055,10.58499883420666
