,arima,prophet,prophet_lower,prophet_upper,rf,xgb,ensemble
2025-04-30,0.4020376623964032,0.3806465848494913,-0.07539622307827146,0.8489545991518845,0.5367999999999996,0.6858056783676147,0.5013224814033772
2025-05-31,0.3668106057151772,0.3398647960776287,-0.09916010429400539,0.7925207121649264,0.5977000000000002,0.534695029258728,0.4597676077628835
2025-06-30,0.33747798928079936,0.3191873619947907,-0.13812529064951976,0.7638740739922479,0.5181000000000002,0.5191931128501892,0.42348961603144486
2025-07-31,0.2708325737312209,0.2336267316156657,-0.2609985448721028,0.6818970188646152,0.6480000000000002,-0.6168431639671326,0.13390403534493855
2025-08-31,0.140018575659829,0.12037430630719526,-0.3128102563502652,0.5632776904094086,0.7373999999999996,0.4203832149505615,0.35454402422939635
2025-09-30,0.30970599863235526,0.28829727976087116,-0.20191823317335555,0.7300056536003752,0.7691999999999998,0.5381807088851929,0.47634599681960477
2025-10-31,0.5189865269517199,0.49542287126867823,0.02438689283996348,0.9510440254870196,0.8012999999999998,0.6238880753517151,0.6098993683930283
2025-11-30,0.4311280281428238,0.41306020474743876,-0.05060379104276581,0.8711988732841363,0.8262,0.6003875136375427,0.5676939366319513
2025-12-31,0.6369657991767345,0.6233251236374991,0.16865408489193814,1.0952999694796208,0.8634000000000001,0.82497638463974,0.7371668268634934
2026-01-31,0.3938592658613479,0.39078984517089504,-0.07827273292005012,0.8546861338717909,0.7220000000000004,0.887151300907135,0.5984501029848446
2026-02-28,0.6908669985712257,0.6555819556160891,0.1885270745214185,1.077707098158363,0.7040000000000002,0.7875147461891174,0.7094909250941082
2026-03-31,0.5208698757706686,0.5100829768575355,0.06961618596101002,0.9858322082257844,0.6948000000000001,0.8037121295928955,0.632366245555275
