,arima,prophet,prophet_lower,prophet_upper,rf,xgb,ensemble
2025-05-31,5.854566947664229,5.891810126583724,5.6590134451931675,6.10924327263947,4.8254969999999995,5.724244117736816,5.574029547996192
2025-06-30,5.854893912027927,5.883537783123159,5.644250283846143,6.117234662927299,4.7157269999999984,4.754899978637695,5.302264668447195
2025-07-31,5.854813715855384,5.937678482450392,5.705438157387858,6.19054648813384,4.647216000000004,4.737424373626709,5.294283142983122
2025-08-31,5.854833385968719,5.955483282925166,5.709142461970256,6.2152275463811035,4.615569000000001,4.728917121887207,5.2887006976952735
2025-09-30,5.854828561382379,6.095166959461408,5.807730478798225,6.396883190435545,4.6627339999999995,4.677167892456055,5.32247435332496
2025-10-31,5.85482974473262,6.178565472655932,5.860196832684656,6.511329329106144,4.715301000000004,4.736309051513672,5.371251317225557
2025-11-30,5.854829454486432,6.189282838905877,5.795588457976929,6.587657563424154,4.743592000000006,4.752114295959473,5.384954647337947
2025-12-31,5.854829525676555,6.229990111691047,5.817631656147766,6.704481637852864,4.762263999999998,4.727124214172363,5.393551962884991
2026-01-31,5.8548295082154,6.265394744063672,5.757824599629519,6.817945701220304,4.763078999999998,4.720595359802246,5.400974653020329
2026-02-28,5.854829512498184,6.234178118184741,5.647617518928574,6.870055674594713,4.761887999999998,4.760495185852051,5.402847704133744
2026-03-31,5.854829511447724,6.279027884682236,5.581959571878598,7.022484470678314,4.772774999999999,4.7713541984558105,5.419496648646442
2026-04-30,5.8548295117053755,6.3355288999631,5.547317633100563,7.159798505213716,4.776007999999998,4.758641242980957,5.431251913662358
